"symbol","logFC","logCPM","F","PValue","FDR"
"DLGAP5",4.41342551657586,2.32384693137023,184.723481188892,2.62577615965187e-35,7.37411466424973e-33
"EGR1",-2.54666349957868,7.27259786357149,184.669428166923,2.67631464191599e-35,7.41447655052968e-33
"CD4",-1.90502084408205,5.85468283227538,184.579617658048,2.76245588556143e-35,7.55108108131931e-33
"BUB1",4.20689574027934,2.67853492733226,184.438870256298,2.90309136838495e-35,7.8310889662184e-33
"FOXM1",3.96627902807837,4.26450824913277,184.242763922343,3.11111805847913e-35,8.28325082037411e-33
"TROAP",4.59098620488463,2.88358765117166,184.18717758842,3.17276252618338e-35,8.33907750631866e-33
"KIF2C",4.54522280179117,3.10419628587492,184.080414571155,3.29462454707636e-35,8.54975922020411e-33
"KIF20A",4.26048049409793,3.14099918061338,183.70313339539,3.76419233498068e-35,9.64621338242986e-33
"CDCA8",3.41913518971123,2.91024433873921,182.972139330836,4.87406289016787e-35,1.23361930013989e-32
"EXO1",4.08091535465395,1.98577160002697,182.869007630031,5.05515395202405e-35,1.26385013622494e-32
"EZH2",2.72005810903147,3.22708347644368,199.926631392316,6.46977961137301e-35,1.59803556400913e-32
"IL1RAP",-2.01704994036591,5.25597329026283,181.98427080645,6.91448598450837e-35,1.68754615676674e-32
"CLEC1B",-5.24092573514555,1.4106199870736,181.744528169444,7.52755280055685e-35,1.8155571760496e-32
"LYVE1",-2.95802596920816,3.0582510627003,180.156886457774,1.32234556926808e-34,3.15225657157732e-32
"AURKA",2.87056667566026,4.09786852384407,180.063910354764,1.36676739907554e-34,3.22070097108594e-32
"TOP2A",4.2255463576437,5.25042443812717,179.546821645444,1.64263422993727e-34,3.82677776681181e-32
"PTTG1",4.10615622169035,3.87598737067609,179.374804502015,1.7462968909138e-34,4.02256545624986e-32
"C8orf4",-2.21233766721655,5.61523577631825,178.422894204298,2.45091720522968e-34,5.5829170693793e-32
"LCAT",-2.63004287004752,5.90139488113388,177.929035708129,2.92276858032092e-34,6.58458007309441e-32
"SKA3",3.87137449276347,1.87811106601656,175.954891623376,5.92132193627965e-34,1.31948935886597e-31
"EPHA2",-2.00581246569862,4.92011918448416,174.68321692371,9.33092602103717e-34,2.05691735868046e-31
"FANCI",2.6983576448761,3.68618919661764,174.348173693586,1.05224878414537e-33,2.29490982167704e-31
"HMMR",3.63666954129894,2.92292743134041,174.082897900073,1.15734912915818e-33,2.49755942072336e-31
"CENPA",4.39429847311956,1.44218075724238,173.664089031492,1.34517093894363e-33,2.87264056450869e-31
"ETFDH",-1.642004343572,5.90653196502837,173.439004647406,1.4584725299936e-33,3.08248921004112e-31
"CDC20",4.59427150395715,4.0069742735098,170.913357413122,3.62156676530259e-33,7.57609594443554e-31
"KIF18B",4.18911881573276,2.40575019488046,170.328424831991,4.47318322976196e-33,9.26310397912626e-31
"TTK",4.63780787210375,2.10856991690819,170.115914301504,4.8301627027685e-33,9.9023165569457e-31
